sfm,threshold,fold,direction_code,direction_biological,r_at_1,r_at_5,r_at_10,note
eSFM,identity_100,mean_0-3,ab2ag,E→S,86.3 ± 1.5,95.3 ± 1.0,97.1 ± 0.8,CL-verified writeup means (folds 0-3)
eSFM,mmseqs_080,0,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,1,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,2,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,3,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,4,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,mean_0-3,ag2ab,S→E,58.6 ± 2.2,84.1 ± 1.3,90.1 ± 1.2,CL-verified writeup means (folds 0-3)
eSFM,mmseqs_080,0,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,1,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,2,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,3,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,4,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_080,mean_0-3,ab2ag,E→S,85.0 ± 1.5,94.0 ± 1.2,95.6 ± 1.0,CL-verified writeup means (folds 0-3)
eSFM,mmseqs_060,0,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_060,1,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_060,2,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_060,3,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_060,4,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_060,mean_0-3,ag2ab,S→E,53.9 ± 2.5,79.7 ± 3.0,86.7 ± 2.4,CL-verified writeup means (folds 0-3)
eSFM,mmseqs_060,0,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_060,1,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_060,2,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_060,3,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_060,4,ab2ag,E→S,N/A,N/A,N/A,per-fold values not archived
eSFM,mmseqs_060,mean_0-3,ab2ag,E→S,81.0 ± 1.9,92.1 ± 1.6,94.6 ± 1.0,CL-verified writeup means (folds 0-3)
eSFM,mmseqs_040,0,ag2ab,S→E,N/A,N/A,N/A,per-fold values not archived
